category,won,count
MALE SUPPORTING ROLE,FALSE,19
MALE TV MOVIE OR MINISERIES,FALSE,1
CAST IN A MOTION PICTURE,FALSE,127
FEMALE LEAD ROLE,FALSE,14
FEMALE SUPPORTING ROLE,FALSE,16
MALE LEAD ROLE,FALSE,10
